"","author","Freq"
"1052","Sherry Lin",5
"1053","Sherry Wang",10
"1054","Sherry Wu",1
"1055","Shi Hao Lin",20
"1056","Shih-ming  Chen",2
"1057","Shih-Yun Chen",3
"1058","Shih-yung Chan",3
"1059","Shih Chieh Chan",1
"1060","Shing Shing Tang",1
"1061","Shinhuei Tsai",2
"1062","Shining Lu",1
"1063","Shirley Chan",1
"1064","Shiu Yu Bing",1
"1065","Shiue Annie",1
"1066","ShouiLiang  Wong",1
"1067","Showching Han",1
"1068","Shu-hong Huang",2
"1069","Shu-huei Li",1
"1070","Shu-niu Chen",1
"1071","Shu-tsung Ho",1
"1072","Shu Ping Yang",1
"1073","Shu YA Fen",8
"1074","Shu Ying Tsai",2
"1075","Shuhua Chiang",2
"1076","Silvia Yeh",2
"1077","Simon Chang",2
"1078","Simon Cheng",1
"1079","Simon Lin",4
"1080","Simon Tsai",1
"1081","Simon Wu",1
"1082","Sisme Chen",3
"1083","Sker Coka",1
"1084","Sky Juan",1
"1085","Smart Jade",2
"1086","Sophia Ho",1
"1087","Sophia Lee",4
"1088","Sophia Su",3
"1089","Stacy Wu",1
"1090","Stanley Liu",2
"1091","Stella Lin",3
"1092","Stephanie Chen",1
"1093","Steven  Liu",1
"1094","Steven Hsieh",2
"1095","Steven Mao",5
"1096","Sue Cho",1
"1097","Sugar Chen",3
"1098","Summer Huang",4
"1099","Sumyu Wong",1
"1100","Sun Sun",1
"1101","Sun Win",1
"1102","Sunny Hsu",1
"1103","Sunny Huang",16
"1104","Suoshishi  Wu",3
"1105","Susan Chiang",4
"1106","Susan Hsieh",1
"1107","Susan Hung",1
"1108","Syen-min Wang",1
"1109","Syliv Lin",1
"1110","Sylvia Chi",2
"1111","Sze Yuan Yang",1
"1112","Szu-chen  Lin",2
"1113","SzuYu Yao",1
"1114","T?ne Hsu",1
"1115","Ta Lotus",20
"1116","Tammy  Yu",4
"1117","Tammy Lor",2
"1118","Tawei Chiang",2
"1119","Tea Li",1
"1120","Teresa Chang",3
"1121","Teresa Wu",1
"1122","Teri Tai",1
"1123","Thomas Chen",1
"1124","Tien Chen",1
"1125","Tifa Hsieh",1
"1126","Tiffany Ge",7
"1127","Tiffany Pan",4
"1128","Tin Liang",13
"1129","Tina  Chen",1
"1130","Tina  Wang",1
"1131","Tina Chang",2
"1132","Tina Chen",1
"1133","Tina Cheng",7
"1134","Tina Chiou",1
"1135","Tina Chiu",4
"1136","Tina Chou",1
"1137","Tina Huang",1
"1138","Tina Hung",4
"1139","Tina Leaf",1
"1140","Tina Lee",1
"1141","Tina Lin",1
"1142","Tina Liu",1
"1143","Tina Pan",21
"1144","Tina Yip",1
"1145","Ting-Wei Lin",1
"1146","Tkice Blood",2
"1147","Tn  Liu",2
"1148","TO CP TA",1
"1149","Tobey Chen",1
"1150","Tobi Tsao",3
"1151","TobyKathy BoYi",5
"1152","Tomoko Lee",2
"1153","Tony Chen",2
"1154","Toto Chang",4
"1155","Toy Tao",3
"1156","Tracy Chang",11
"1157","Tracy Cheng",1
"1158","Tracy Chu",1
"1159","Trip Chen",2
"1160","Tsai Wan Chen",1
"1161","Tsai Yi Ting",3
"1162","Tsaichieh Kao",1
"1163","Tsailing  Lin",1
"1164","Tsaiyun Tsai",1
"1165","Tsui Teresa",1
"1166","Tsung Wan Huang",1
"1167","Tyler Hsiao",1
"1168","Tzu-yi Yip",29
"1169","Tzu-Yin Yang",8
"1170","Tzu Tzu",2
"1171","Tzuya Chen",5
"1172","Tzuyun Chou",1
"1173","Uan Chen",1
"1174","Uly  Chen",1
"1175","UT Weng",1
"1176","Vakey Vakey",1
"1177","Vanessa Chen",6
"1178","Vanessa Wu",2
"1179","Veronica Liu",1
"1180","Verrine Hsu",2
"1181","Vettel Tsai",5
"1182","Vick Shih",1
"1183","Vickey Tsai",1
"1184","Vickia Jiang",2
"1185","Vicky Chen",1
"1186","Vicky Dai",1
"1187","Vicky Hsu",1
"1188","Vicky Lin",6
"1189","Vicky Liu",2
"1190","Vicky Tsai",3
"1191","Victor Chang",1
"1192","Victoria Liu",29
"1193","Vida Pan",13
"1194","Vinny Lin",1
"1195","Viola Lin",5
"1196","Vivi Chen",1
"1197","Vivi Chiang",1
"1198","Vivi Liang",4
"1199","Vivian Chen",13
"1200","Vivian Chou",1
"1201","Vivian Tseng",1
"1202","Wa-Wa Chiang",1
"1203","Wafee Wang",1
"1204","Wai Chung Wong",1
"1205","Wan-Hsuan Shen",7
"1206","Wan-jhih Hsieh",2
"1207","Wan Chun Chen",2
"1208","Wan Wan Wan",7
"1209","Wang Kai Wei",4
"1210","Wang Wei Min",1
"1211","Wangchinwan",1
"1212","Wayne Huang",6
"1213","Wei-Jyun Lai",2
"1214","Wei Syuan",7
"1215","Wei Tsai",2
"1216","Wei Wei",4
"1217","Wei Wei OU",1
"1218","Weiko Victor",6
"1219","Weison Lee",2
"1220","Welson Wang",4
"1221","Wen-Chi Chou",12
"1222","Wen Hsu",1
"1223","Wen Kuei Tsai",2
"1224","Wen Wen",1
"1225","Wen Yi Wang",13
"1226","Wendy Chuang",2
"1227","Wendy Juan",1
"1228","Wenhsin Chang",1
"1229","Wenwen Lin",2
"1230","wenwen wendy",3
"1231","Wh Cheng",2
"1232","Whchg Hung",1
"1233","Whitney Chiu",1
"1234","Wilang Bason",2
"1235","Willen Wei",1
"1236","William Chan",1
"1237","William Chang",2
"1238","Willy Yuan",1
"1239","Win Chen",1
"1240","Wing Chan",5
"1241","Winnie Cheng",3
"1242","Winnie Lin",1
"1243","Winpin Wu",1
"1244","Woem Woem Gnah",1
"1245","Wong Ching Yu",2
"1246","Wu-Yo Wu-Ree",1
"1247","Wu Angel",4
"1248","Wu Chen-An",2
"1249","Wu Chiu-Hsueh",1
"1250","Wu Domo",3
"1251","Wu Han Weng",2
"1252","Wu San",8
"1253","Xia-Yuan Shang-Tai Cheng",1
"1254","Xiaoya Huang",1
"1255","Xin Wei",2
"1256","Xiu Xia Tu",5
"1257","Ya-chi Chen",1
"1258","Ya Hui",1
"1259","Ya Wen Chang",18
"1260","Yaching Sung",1
"1261","Yahan Hsu",1
"1262","Yan Cherry",1
"1263","Yan Chuan",3
"1264","Yan Ling",6
"1265","Yan Liu",1
"1266","Yang Su Su",1
"1267","Yang Yang",2
"1268","Yangui Akuyayana",1
"1269","Yannis Xu",1
"1270","Yap Foong Qu",4
"1271","Yasa Tsai",2
"1272","Yeh Zt",1
"1273","Yen-Long Sern",1
"1274","Yen-Yuang Xiang",1
"1275","Yen Te Tsung",1
"1276","Yeon Yeon",1
"1277","Yi-Ching Tsai",2
"1278","Yi-hui Wang",1
"1279","Yi-jin Lin",1
"1280","Yi-Ling Lee",3
"1281","Yi-ting Zhang",1
"1282","Yi-yo Lin",1
"1283","Yi Chen",4
"1284","Yi Chi Chao",7
"1285","Yi Fen",1
"1286","Yi Ling Liu",5
"1287","Yi Ping Yen",2
"1288","Yi Ting Chuang",1
"1289","Yi Ting Huang",5
"1290","Yiahung Hong",31
"1291","Yiling Chen",2
"1292","Yimei Hsiao",1
"1293","Yin Chang",2
"1294","Ying Chiu Huang",1
"1295","Ying Hsien Tseng",3
"1296","Ying Hsing Lai",3
"1297","Yipin Hung",1
"1298","Yiwei Wu",5
"1299","Yiyin Liu",2
"1300","Yj Dan",29
"1301","Yo Cheng Luo",1
"1302","Yu- Chen Tsai",2
"1303","Yu-Chang Lin",35
"1304","Yu-chen Yang",1
"1305","Yu-Hsiang Liu",2
"1306","Yu-shan Huang",7
"1307","Yu-tzu Pai",1
"1308","Yu-Wei Chuang",3
"1309","Yu-yuan Ma",4
"1310","Yu Chieher",1
"1311","Yu Ching",3
"1312","Yu Hsu",1
"1313","Yu Jet Chou",2
"1314","Yu Jia Jhang",1
"1315","Yu Ju Hidja-Shih",1
"1316","Yu Lin",9
"1317","Yu Pei",3
"1318","Yu Shan Huang",2
"1319","Yu Shan Lan",2
"1320","Yuan-Hung Wu",1
"1321","Yuan Wu",1
"1322","Yuca Chiang",4
"1323","Yuchen King",17
"1324","Yuchi Liu",1
"1325","Yueh-Ling Chao",2
"1326","Yueh Carol",9
"1327","Yueying Chen",3
"1328","Yufang Tseng",2
"1329","Yugi Tsai",8
"1330","Yujr Chang",2
"1331","Yuka Lee",1
"1332","Yuki Hsc",1
"1333","Yuki Yea",1
"1334","Yumin Tsai",1
"1335","Yung-Hsuan Tsai",11
"1336","Yung Chen",2
"1337","Yung Hsiang Chen",2
"1338","YunJu Chen",2
"1339","Yuping Chen",2
"1340","YuTing Huang",1
"1341","YuWen Chen",1
"1342","Yuyi Lin",3
"1343","Yvonne Chiu",2
"1344","Yvonne Lai",1
"1345","Yvonne Rau",1
"1346","Yvonne Su",2
"1347","Zhang Nick",3
"1348","Zhihao Chen",3
"1349","Zhu Xiaoqi",1
"1350","Zi-mei Huang",1
"1351","Zi Yan Chan",1
"1352","Zing Lin",1
"1353","Zingy Chang",1
"1354","Zoe Chang",1
"1355","Zoe Tsai",1
"1356","¤@ªÑ±i",1
"1357","¤B¾å«B",1
"1358","¤D±k±i",1
"1359","¤_§Jà±",1
"1360","¤_Ô¢",2
"1361","¤_ÀnÀn",29
"1362","¤j¤ô¤T",16
"1363","¤j¨{¨k",3
"1364","¤jÀY¤jÀY",1
"1365","¤jÁy©W",3
"1366","¤p°Ò¤p°Ò",1
"1367","¤pÄåÄå",6
"1368","¤Ë¤h³Ó",4
"1369","¤ÍÂ@Ã¹",6
"1370","¤¨§gÁ{",1
"1371","¤ä°Ò¦p",1
"1372","¤å¶i",6
"1373","¤å¶®",3
"1374","¤åÄ_¨à",1
"1375","¤è¤O¤å",6
"1376","¤è¹Å»Ê",1
"1377","¤ý¤l¤ª",11
"1378","¤ý¤p¶²",1
"1379","¤ý¤pÄ_",1
"1380","¤ý¤ë®ç",1
"1381","¤ý¥H¸©",1
"1382","¤ý¥©¬Â",1
"1383","¤ý¥Ã½÷",4
"1384","¤ý¥ú´_",1
"1385","¤ý¦p¼z",1
"1386","¤ýÊ»¤å",1
"1387","¤ý§Ê§Ê",3
"1388","¤ý§ø§ø",1
"1389","¤ý¨qªâ",1
"1390","¤ý¨q«W",1
"1391","¤ý¨|¸Û",4
"1392","¤ýªF¥§",1
"1393","¤ýª÷Às",6
"1394","¤ý«F®Ë",2
"1395","¤ý«ä³ì",1
"1396","¤ý¬KºÖ",7
"1397","¤ý¬f¾±",1
"1398","¤ý¬è¨ç",1
"1399","¤ý¬üµÎ",4
"1400","¤ýÐwã¸",1
"1401","¤ý®¶¦t",1
"1402","¤ý°¶´@",2
"1403","¤ý±Ó®S",3
"1404","¤ý²Q¥É",4
"1405","¤ý²»¦X",30
"1406","¤ý²ûØÝ",5
"1407","¤ý´I·ç",1
"1408","¤ýµ¾¶h",1
"1409","¤ý¶Q¾ì",1
"1410","¤ý·u³Õ",1
"1411","¤ý·½¼y",4
"1412","¤ý·çª@",1
"1413","¤ý¸r´f",20
"1414","¤ýºû¨°",4
"1415","¤ý¼ä",2
"1416","¤ý¾|±ö",1
"1417","¤ýÀR»ö",1
"1418","¤ýÁ¨ºÕ",2
"1419","¤ýÂ@ÄË",1
"1420","¤ýÃd´f",20
"1421","¤ýÄR¯Â",1
"1422","¤ýÄ_¬L",1
"1423","¤ýÅDÀs",2
"1424","¤ýÅtÄ«",1
"1425","¥j¥É³·",3
"1426","¥jª÷Äå",2
"1427","¥m¾´",1
"1428","¥­¤Z",1
"1429","¥Ìª÷µØ",8
"1430","¥Ð©{»T",1
"1431","¥Ð®¦ºö",4
"1432","¥Ð¶®·s",75
"1433","¥Õ¤p¦p",21
"1434","¥Õ¤p¯ù",1
"1435","¥Õ¦Ð±ã",1
"1436","¥ì«F«F",1
"1437","¥ì²úµ·",1
"1438","¥ì´@",1
"1439","¥î¦u°¶",1
"1440","¦B¤H±i",1
"1441","¦B¤ß",1
"1442","¦V¯h¬z",5
"1443","¦h®R¯÷",2
"1444","¦w¦w",1
"1445","¦w±o¯P",3
"1446","¦¶¤å¸R",4
"1447","¦¶¥­ªÚ",10
"1448","¦¶¦¶",1
"1449","¦¶¦¿ÅS",2
"1450","¦¶¦Û±j",1
"1451","¦¶§µ±Ó",1
"1452","¦¶§ó·s",27
"1453","¦¶¨q©ú",1
"1454","¦¶¨|¯ø",2
"1455","¦¶¬îµ^",4
"1456","¦¶¯]",2
"1457","¦¶²Q¬Ã",1
"1458","¦¶²Ð¸q",1
"1459","¦·¦·¨à",1
"1460","¦¿§Ö¼Ö",2
"1461","¦¿¨q±ö",1
"1462","¦¿©v¿Ù",2
"1463","¦¿©y­s",7
"1464","¦¿ªFªF",1
"1465","¦¿ªéß»",2
"1466","¦¿«HºÖ",4
"1467","¦¿«~½Ë",2
"1468","¦¿¯À¶Ô",1
"1469","¦¿´P",1
"1470","¦¿ÝõÝõ",1
"1471","¦¿¹Å²Ü",1
"1472","¦¿ºa¥°",1
"1473","¦¿½¬¥É",1
"1474","¦À©ú´f",2
"1475","¦Ì¦èÅS",2
"1476","¦Ì¨äÀM",1
"1477","¦Ì®R",1
"1478","¦ÌÄQ",1
"1479","¦Ü¸t",1
"1480","¦ã¤Y",1
"1481","¦ã«}§õ",2
"1482","¦ã¯ô",3
"1483","¦ó¤p©f",3
"1484","¦ó¤p¼z",1
"1485","¦ó¤û",1
"1486","¦ó¦w´f",2
"1487","¦ó¦°¤é",6
"1488","¦ó©Î¥à",5
"1489","¦óª÷¨}",7
"1490","¦ó¬f¬õ",3
"1491","¦ó¯À­s",1
"1492","¦óÔÐ§±",2
"1493","¦ó²Q«C",1
"1494","¦ó²M¥þ",11
"1495","¦ó¶®¬Ã",2
"1496","¦ó¹a¥É",1
"1497","¦óºÑ®Z",4
"1498","§E¨Î»T",3
"1499","§E¶³¬Ã",2
"1500","§E»·©w",1
"1501","§d¤d¸U",1
"1502","§d¤l´¸",1
"1503","§d¤p´@",1
"1504","§d¤p¼z",1
"1505","§d¤å¬Â",1
"1506","§d¥l²Æ",1
"1507","§d¥É®Û",1
"1508","§d¥É²M",1
"1509","§d¥ÉµØ",1
"1510","§d¥ü¥Á",1
"1511","§d¦èªe",1
"1512","§d¨qºa",1
"1513","§d¨Îªâ",1
"1514","§d¨ý¬Â",1
"1515","§d©s©s",2
"1516","§d©u¬Ã",1
"1517","§d©y¯u",2
"1518","§d©y½@",1
"1519","§d©yæ¢",1
"1520","§d©y¾Ç",1
"1521","§d©¯«º",16
"1522","§d©ú¼ý",2
"1523","§d©ö¯Ð",3
"1524","§dªY¼ä",16
"1525","§dªY¿o",2
"1526","§dªµ²Þ",1
"1527","§dªÞ¦ç",1
"1528","§dª÷¤û",2
"1529","§dª÷©f",19
"1530","§d«a¾È",1
"1531","§d«§«§",1
"1532","§d«Ø§Ó",3
"1533","§d«Ø®x",5
"1534","§d¬L¼ý",1
"1535","§d¬î¿P",3
"1536","§d­b·ì",1
"1537","§dÐwæ£",1
"1538","§d­x§Ê",1
"1539","§d®¬",1
"1540","§d±ÓªÚ",1
"1541","§d²Qªâ",2
"1542","§d²Q¯u",1
"1543","§d²Ð·½",2
"1544","§d¶®¥P",4
"1545","§d¶®¯Â",1
"1546","§d·çªÚ",1
"1547","§d¸Ö´@",2
"1548","§dºa¿Q",1
"1549","§dºt§»",9
"1550","§d»Ê´¼",1
"1551","§d½Õµ^",2
"1552","§d¾Ë?",1
"1553","§d¿³¶Ç",14
"1554","§dÁJ½å",1
"1555","§dÁo²r",1
"1556","§dîTÐr",9
"1557","§dÂí­ë",1
"1558","§dÄR®S",3
"1559","§dÄ_½@",1
"1560","§^·R±i",1
"1561","§f¬L©y",1
"1562","§f²z¹B",4
"1563","§fºû­Å",2
"1564","Ê¹Ê¹³¯",6
"1565","§º¨q¬Â",1
"1566","§º¨|¦p",3
"1567","§º©öÀM",1
"1568","§º«É»ö",14
"1569","§º­×µÓ",2
"1570","§Å©É¾ì",2
"1571","§Å¬ü½¬",1
"1572","§Æ§Æ§õ",9
"1573","§Í¤ß",1
"1574","§Ñ¼~¨¦",2
"1575","§õ?·½",1
"1576","§õ¤jµX",5
"1577","§õ¤pªF",9
"1578","§õ¤p¼ä",2
"1579","§õ¤å",2
"1580","§õ¤é¶¯",1
"1581","§õ¦t±á",1
"1582","§õ¦w¦è",2
"1583","§õ§µ·O",1
"1584","§õ§Í§Í",2
"1585","§õ¨q¬À",1
"1586","§õ¨qÄõ",2
"1587","§õ¨Øªâ",1
"1588","§õ¨Î­i",1
"1589","§õ¨Î®R",1
"1590","§õ©s¦¼",3
"1591","§õ©vÂ@",2
"1592","§õ©vÂí",2
"1593","§õ©Éªâ",8
"1594","§õ©Ó«Û",7
"1595","§õ©û¾§",4
"1596","§õª@¼ý",1
"1597","§õ©ú?",1
"1598","§õªê¤ú",1
"1599","§õª÷Áo",1
"1600","§õ«º»ö",1
"1601","§õ«Û¨k",1
"1602","§õ¬F¾§",1
"1603","§õ¬Ã",1
"1604","§õ¬Õ´ü",2
"1605","§õ¬îªQ",2
"1606","§õ¬õ¨§",1
"1607","§õ¬üªâ",1
"1608","§õ¬ü¬Â",2
"1609","§õ¯ÀÀR",1
"1610","§õ°êºa",4
"1611","§õ²Q±Ó",1
"1612","§õÖq½¬",1
"1613","§õ³Õ¼y",1
"1614","§õ´@ÔÐ",1
"1615","§õ´I¦w",2
"1616","§õ¶®ªâ",1
"1617","§õ¶®µX",2
"1618","§õÞ·¬À",8
"1619","§õ·çÅï",1
"1620","§õ¸ü©[",1
"1621","§õºÑ¬õ",1
"1622","§õºÑ¯]",1
"1623","§õ¼ä¿o",1
"1624","§õ¾å¥É",1
"1625","§õ¿·?",1
"1626","§õ¿Ý¦w",3
"1627","§õÀA¶³",1
"1628","§õÀR",1
"1629","§õÀsÀs",4
"1630","§õÄ«Ä«",2
"1631","§ù¨q»ñ",1
"1632","§ù­Û",1
"1633","§ù¯\ºÂ",1
"1634","§ù²Qªâ",1
"1635","¨B¨B",4
"1636","¨Lª¾¤F",9
"1637","¨L¼ä",1
"1638","¨H­»­»",1
"1639","¨H´¼°ê",1
"1640","¨H¸t³Ç",1
"1641","¨Hºûºû",1
"1642","¨F¨½",6
"1643","¨q­ë",2
"1644","¨|¤¯³\",1
"1645","¨©©g",1
"1646","¨¯²\",3
"1647","¨·¼W¦t",1
"1648","¨¹¥§ºµ",4
"1649","¨½¥]®¦",5
"1650","¨Ì±Ý",1
"1651","ªì­Y¥É",2
"1652","¨ô·½²±",1
"1653","©P¤j­ô",13
"1654","©P§Ó«n",1
"1655","©P¨q±ö",1
"1656","©P«Ø¨¹",1
"1657","©P¬ü¨q",1
"1658","©P¬ü¬Â",1
"1659","©P¶®´@",2
"1660","©P¼ä¦p",3
"1661","©Pè®²[",1
"1662","©P¾åµ^",8
"1663","©P¾åÁ¨",5
"1664","©`©` ???",1
"1665","©s§Ê¦t",20
"1666","©s®a¼Ö",1
"1667","©¯®S",1
"1668","©É®SÁé",15
"1669","©ñ¤»¤Ñ",10
"1670","ª@­ô",2
"1671","©úªÛ·¨",1
"1672","ªL¤lµY",1
"1673","ªL¤lºö",4
"1674","ªL¤p§±",2
"1675","ªL¤pÌÉ",3
"1676","ªL¤¯¸q",1
"1677","ªL¤ß»ö",1
"1678","ªL¤å²Ý",1
"1679","ªL¤åÂE",1
"1680","ªL¥@¥É",3
"1681","ªL¥¿·¨",2
"1682","ªL¥É­¦",7
"1683","ªL¥É¯Â",1
"1684","ªL¥ß¶¯",1
"1685","ªL¦³",1
"1686","ªL¦Ðº³",3
"1687","ªL¦ÐÀP",7
"1688","ªL¦ö«°",1
"1689","ªL§®§®",1
"1690","ªL§»©ú",2
"1691","ªL§»¾ì",1
"1692","ªL§Â?",2
"1693","ªL¨Zª²",3
"1694","ªL¨q¤l",1
"1695","ªL¨q¨q",5
"1696","ªL¨qµÓ",2
"1697","ªL¨|¦p",1
"1698","ªL¨|¼y",3
"1699","ªL¨Øµ×",2
"1700","ªL¨Î¿o",31
"1701","ªL©s¬À",10
"1702","ªL©É­»",12
"1703","ªL©Ô©Ô",3
"1704","ªL©ú¥¿",12
"1705","ªLªä±á",2
"1706","ªLªÚ½@",1
"1707","ªLªåªå",11
"1708","ªLª÷¸U",1
"1709","ªLª÷Às",1
"1710","ªL«~¼H",1
"1711","ªLÎr¼ü",28
"1712","ªL¬F¹D",1
"1713","ªL¬K¼ü",2
"1714","ªL¬Â",1
"1715","ªL¬Ä·O",2
"1716","ªL¬À¦¼",1
"1717","ªL¬Ã¯]",1
"1718","ªL¬î®S",1
"1719","ªL¬îµÓ",31
"1720","ªLÐA¦t",3
"1721","ªL¬ü§ö",1
"1722","ªL¬ü©u",5
"1723","ªL¬ü¬ü",3
"1724","ªL¬ý§Â",1
"1725","ªL­^Ùy",4
"1726","ªL­s§g",1
"1727","ªL­{¹t",1
"1728","ªL­§°a",8
"1729","ªL®m½å",3
"1730","ªL®x¸©",9
"1731","ªL®õ¨¥",1
"1732","ªL¯P",1
"1733","ªL¯q·s",1
"1734","ªL¯ªÄÒ",1
"1735","ªL¯Àªâ",3
"1736","ªL°ö²z",1
"1737","ªL°Ò°Ò",1
"1738","ªL²Q®S",1
"1739","ªL²W©ú",4
"1740","ªL²M¶³",1
"1741","ªL³°·Ë",14
"1742","ªL´@´@",2
"1743","ªL´@ÀR",10
"1744","ªL´¼®S",2
"1745","ªL´ðÖö",4
"1746","ªLµû",4
"1747","ªL¶v¶h",1
"1748","ªL¶®ªÚ",1
"1749","ªL¶®±á",1
"1750","ªL¶®´@",1
"1751","ªL¶®µX",5
"1752","ªL¶®¼z",9
"1753","ªL¶¶¥É",2
"1754","ªL¶ê¶ê",1
"1755","ªL·O´f",2
"1756","ªLßN¦p",10
"1757","ªLßNÒj",2
"1758","ªLßN´@",4
"1759","ªL¹Åæ¢",1
"1760","ªLºÑ¯]",4
"1761","ªLºë­×",1
"1762","ªL»ñ½÷",1
"1763","ªL¼eÝÕ",1
"1764","ªL¼z",8
"1765","ªL½åºØ",2
"1766","ªL¾åµX",1
"1767","ªL¿PµÓ",1
"1768","ªL¿[¨ä",2
"1769","ªLÀRªâ",3
"1770","ªLÄ£°ó",1
"1771","ªLø@®x",1
"1772","ªZ¥q",1
"1773","ªZ¾åÁø",2
"1774","ªZÃÃ¤p³Í",5
"1775","ªÜÅÚ©Ô",1
"1776","ªá±²±²",1
"1777","ªá·¦µæ",1
"1778","ªÚÄõ",54
"1779","ªå¾¤",1
"1780","ªô¥É±ö",1
"1781","ªô¨Ø¬À",4
"1782","ªô«T¹Å",1
"1783","ªô«aº_",4
"1784","ªô«a¾§",4
"1785","ªô«³´Q",2
"1786","ªô¬L¿o",1
"1787","ªô¬R¾Ë",1
"1788","ªô­»µÙ",5
"1789","ªô²Q¶³",1
"1790","ªô²ï©g",1
"1791","ªô´f±Ó",3
"1792","ªôµY¨|",2
"1793","ªôµú³Ç",4
"1794","ªô¶®®S",1
"1795","ªô·çº·",1
"1796","ªôßN´@",1
"1797","ªô¼y·½",2
"1798","ªô¼ü",2
"1799","ªôÁ¨¦w",9
"1800","ªôÄR¥­",1
"1801","ªôÄÉ»ö",11
"1802","ªò©v½å",1
"1803","ª÷¥Ã¬_",4
"1804","ª÷¶Q",13
"1805","ª÷·×",1
"1806","«B¹L¤Ñ´¸",1
"1807","«C«C",1
"1808","«J¤pµÓ",1
"1809","«J¨Î¬Ã",8
"1810","«J®a±á",1
"1811","«J¼Ö¼Ö",2
"1812","«\²Qªâ",7
"1813","«n®c¦BÃý",3
"1814","«tºû",1
"1815","«À©¾",6
"1816","«¸¨qªÚ",1
"1817","«¸´f§°",3
"1818","«ÂÄR¹F",2
"1819","«ïÄÉ",2
"1820","¬I¤p¯ò",2
"1821","¬I¤p·ì",3
"1822","¬I¥É¥P",2
"1823","¬I®aÄÖ",9
"1824","¬I·çà±",1
"1825","¬IÄR®S",1
"1826","¬_¥Éµ^",1
"1827","¬_²Q¶®",1
"1828","¬_´@º_",1
"1829","¬_·¶´@",2
"1830","¬_·ë´f",1
"1831","¬v¤p¦Ì",3
"1832","¬z¬X",1
"1833","¬x¤ô¤ô",1
"1834","¬x¥°Às",1
"1835","¬x¥ò¼Ý",2
"1836","¬x¦x",2
"1837","¬x§Ó·ì",7
"1838","¬x¨©¨à",1
"1839","¬xÎr¬Â",3
"1840","¬x¬ü¬Â",1
"1841","¬x²Q¬Â",4
"1842","¬x²Q®S",3
"1843","¬x²ú²Q",1
"1844","¬x´¼",1
"1845","¬xµúÛß",4
"1846","¬x¶®¬Â",5
"1847","¬x·O¥Á",1
"1848","¬xÝÂÝÂ",2
"1849","¬x·ç©_",3
"1850","¬xßN®É",2
"1851","¬x¸Ö²[",1
"1852","¬xà±ªÚ",1
"1853","¬x¹Å°ß",1
"1854","¬x¼ü´@",2
"1855","¬x¾å·¬",11
"1856","¬°µ¾³\",2
"1857","ÏÉ¦w",4
"1858","¬î«³»Í",3
"1859","¬î¸ª",5
"1860","¬î¿P³¯",2
"1861","¬ö©ÓâW",19
"1862","¬ö°]·½",1
"1863","¬ö¿o¶­",7
"1864","¬ü§Â¬ü§Â",1
"1865","¬üªÚ¦¿",2
"1866","¬ý¼_",1
"1867","­J¤pËÛ",1
"1868","­J¥k©Ó",1
"1869","­J¨|»Ê",1
"1870","­J©ÉµÓ",1
"1871","­J«H¤h",15
"1872","­J¬ü¤H",1
"1873","­J­õÙy",1
"1874","­J²¢«ï",1
"1875","­Jµú²[",1
"1876","­J¶®ªâ",1
"1877","­J¹Åªå",1
"1878","­S´D³ì",1
"1879","­S·ç½¬",2
"1880","­S¸t®i",1
"1881","­SÄõ©j",5
"1882","­pàQ­m",7
"1883","­w¿à",12
"1884","­§ªå",11
"1885","­³Åt°a",16
"1886","­¸ÅÃ®R®R",2
"1887","­Ô«n­Å",3
"1888","­ÙµXµX",1
"1889","­ùÂP­ùÂP",1
"1890","­ð¨qµØ",14
"1891","­ðµÓ",4
"1892","®LªZ¤¹",1
"1893","®]¤¤¥ú",120
"1894","®]±R³Ó",1
"1895","®]·»¦ö",7
"1896","®]Þ³·s",3
"1897","®]¾å¦N",1
"1898","®]¾å§Í",3
"1899","®c­Y²ù",4
"1900","®u¼}»T",1
"1901","®wº¿Ä_²°",4
"1902","®}¤T¤T",6
"1903","®}§»´¼",1
"1904","®}§Ê¿«",31
"1905","®}§Óª@",1
"1906","®}¨q¥É",11
"1907","®}¯E¤å",2
"1908","®}¯È¶r",3
"1909","®}±ê®m",3
"1910","®}²ú§g",1
"1911","®}·sªN",3
"1912","®}Þ³§Ê",1
"1913","®}¹ÚíÙ",2
"1914","®}»»»»",1
"1915","®}¼e",2
"1916","®}½¯©g",1
"1917","®}Ä_¯]",1
"1918","®ï¤¯§»",1
"1919","¯\¦p¦p",1
"1920","¯³ÄÉ",1
"1921","¯Î¦Ë½Ë",1
"1922","¯Î©ú¬Ã",1
"1923","¯Î²Q®S",3
"1924","¯ÎÖö­Û",6
"1925","¯Î¹D³ü",3
"1926","¯ÎÄåÆq",3
"1927","¯Õ¤¯³Ç",1
"1928","¯üÂè ¬x",2
"1929","¯ù¦Ì¸­",6
"1930","¯ø¯ø",1
"1931","°q¤p§Ê",1
"1932","°¨²»",18
"1933","°¨¼zÀA",1
"1934","°ª¦Ê§u",1
"1935","°ª§Ó¤¯",1
"1936","°ª²Ð°a",3
"1937","°ªÖöºÕ",2
"1938","°ªºa±R",4
"1939","°ªíõ´@",27
"1940","°Ó´ËªL",11
"1941","°û¹Å",1
"1942","±Z©úªÛ",1
"1943","±Z³Ç´Ë",2
"1944","±Z´f¬Â",1
"1945","±d¤p²Ü",1
"1946","±d®aµØ",1
"1947","±d¯À­ë",3
"1948","±i ºû­Û",3
"1949","±i?©y",1
"1950","±i¤j§¬",12
